Gene-ID,Gene-Name,ACE1,ACE2,ACE3,ACE4,ACE5
ENSMUSG00000000001,Gnai3,2022,3226,2467,3112,4052
ENSMUSG00000000003,Pbsn,0,0,0,0,0
ENSMUSG00000000028,Cdc45,67,44,72,175,327
ENSMUSG00000000031,H19,4,5,313,660,157
ENSMUSG00000000037,Scml2,127,50,107,117,189
ENSMUSG00000000049,Apoh,86,39,60,22,11
ENSMUSG00000000056,Narf,331,226,458,312,505
ENSMUSG00000000058,Cav2,2580,2980,3537,3322,2273
ENSMUSG00000000078,Klf6,11815,36002,13424,26718,31719
ENSMUSG00000000085,Scmh1,1431,848,1275,813,807
ENSMUSG00000000088,Cox5a,394,852,613,1139,1197
ENSMUSG00000000093,Tbx2,175,31,226,131,68
ENSMUSG00000000094,Tbx4,12,3,0,8,4
ENSMUSG00000000103,Zfy2,0,0,0,0,0
ENSMUSG00000000120,Ngfr,134,11,357,175,22
ENSMUSG00000000125,Wnt3,4,3,0,0,0
ENSMUSG00000000126,Wnt9a,446,33,351,102,25
ENSMUSG00000000127,Fer,658,643,797,885,746
ENSMUSG00000000131,Xpo6,2097,2535,2259,1951,2262
ENSMUSG00000000134,Tfe3,818,990,746,733,966
ENSMUSG00000000142,Axin2,599,83,871,312,89
ENSMUSG00000000148,Brat1,145,128,238,153,210
ENSMUSG00000000149,Gna12,978,1905,1394,1183,1261
ENSMUSG00000000154,Slc22a18,15,249,6,80,86
ENSMUSG00000000157,Itgb2l,4,33,0,0,0
ENSMUSG00000000159,Igsf5,64,1049,137,588,373
ENSMUSG00000000167,Pih1d2,27,56,33,51,75
ENSMUSG00000000168,Dlat,565,776,779,1001,1218
ENSMUSG00000000171,Sdhd,346,477,485,864,821
ENSMUSG00000000182,Fgf23,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,632,109,2458,4714,909
ENSMUSG00000000194,Gpr107,859,1045,1011,1030,1062
ENSMUSG00000000197,Nalcn,458,25,420,102,64
ENSMUSG00000000202,Btbd17,0,3,0,0,8
ENSMUSG00000000204,Slfn4,8,15,12,51,0
ENSMUSG00000000214,Th,0,0,3,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,216,138,146,196,36
ENSMUSG00000000223,Drp2,376,13,503,109,11
ENSMUSG00000000244,Tspan32,4,3,3,0,8
ENSMUSG00000000247,Lhx2,4,0,6,0,4
ENSMUSG00000000248,Clec2g,12,7,9,37,22
ENSMUSG00000000253,Gmpr,49,161,30,51,61
ENSMUSG00000000263,Glra1,49,42,9,15,32
ENSMUSG00000000266,Mid2,1387,1798,1460,1204,1971
ENSMUSG00000000275,Trim25,1238,1878,1546,1930,2149
ENSMUSG00000000276,Dgke,406,333,372,392,494
ENSMUSG00000000278,Scpep1,803,632,850,922,711
ENSMUSG00000000282,Mnt,558,916,788,878,1179
ENSMUSG00000000290,Itgb2,30,17,69,160,47
ENSMUSG00000000295,Hddc2,131,197,93,153,235
ENSMUSG00000000296,Tpd52l1,123,204,167,189,242
ENSMUSG00000000301,Pemt,41,42,24,51,54
ENSMUSG00000000303,Cdh1,5274,22863,7189,12445,23655
ENSMUSG00000000305,Cdh4,23,19,27,8,0
ENSMUSG00000000308,Ckmt1,60,565,75,233,324
ENSMUSG00000000317,Bcl6b,216,35,54,138,32
ENSMUSG00000000318,Clec10a,15,5,12,22,15
ENSMUSG00000000320,Alox12,86,33,87,153,82
ENSMUSG00000000325,Arvcf,517,470,693,537,846
ENSMUSG00000000326,Comt,993,907,1154,1074,1027
ENSMUSG00000000339,Rtca,268,351,366,602,522
ENSMUSG00000000340,Dbt,484,598,613,747,643
ENSMUSG00000000346,Dazap2,2725,4997,2859,3576,4144
ENSMUSG00000000355,Mcts1,279,327,321,385,338
ENSMUSG00000000359,Rem1,8,3,6,8,0
ENSMUSG00000000365,Rnf17,0,0,0,8,8
ENSMUSG00000000374,Trappc10,1457,2007,1953,1509,1946
ENSMUSG00000000378,Ccm2,261,292,280,218,274
ENSMUSG00000000381,Wap,0,3,0,8,8
ENSMUSG00000000384,Tbrg4,792,739,524,805,1030
ENSMUSG00000000385,Tmprss2,357,4554,217,1132,732
ENSMUSG00000000386,Mx1,12,15,42,59,43
ENSMUSG00000000392,Fap,12,17,15,37,15
ENSMUSG00000000394,Gcg,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,320,436,458,697,679
ENSMUSG00000000402,Egfl6,413,7,292,44,57
ENSMUSG00000000409,Lck,79,23,69,153,75
ENSMUSG00000000411,Tssk3,8,13,3,0,22
ENSMUSG00000000416,Cttnbp2,1747,177,1424,385,505
ENSMUSG00000000420,Galnt1,915,1498,1133,1654,2340
ENSMUSG00000000435,Myf5,0,0,3,0,0
ENSMUSG00000000439,Mkrn2,1613,1605,1353,1291,1751
ENSMUSG00000000440,Pparg,71,89,39,124,54
ENSMUSG00000000441,Raf1,2632,2766,2544,2191,3118
ENSMUSG00000000486,Sept1,64,58,81,51,72
ENSMUSG00000000489,Pdgfb,643,575,1778,1335,384
ENSMUSG00000000530,Acvrl1,506,392,437,479,292
ENSMUSG00000000531,Grasp,484,76,253,204,111
ENSMUSG00000000532,Acvr1b,900,770,1498,994,1375
ENSMUSG00000000538,Tom1l2,1283,1537,1201,733,775
ENSMUSG00000000544,Gpa33,123,9,42,8,50
ENSMUSG00000000552,Zfp385a,283,177,428,312,153
ENSMUSG00000000555,Itga5,640,544,948,849,640
ENSMUSG00000000560,Gabra2,0,0,0,0,0
ENSMUSG00000000561,Wdr77,904,747,937,936,1115
ENSMUSG00000000562,Adora3,0,0,6,0,0
ENSMUSG00000000563,Atp5f1,1364,1704,1781,2865,3047
ENSMUSG00000000567,Sox9,7634,10000,7272,8007,8018
ENSMUSG00000000568,Hnrnpd,3297,2071,2286,2996,3981
ENSMUSG00000000579,Dynlt1c,41,70,39,80,61
ENSMUSG00000000581,C1d,305,316,550,602,565
ENSMUSG00000000594,Gm2a,1420,1609,1519,1110,1779
ENSMUSG00000000600,Krit1,1301,1106,1261,1001,1030
ENSMUSG00000000605,Clcn4,1535,1658,1680,1538,1680
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0
ENSMUSG00000000617,Grm6,4,0,0,0,0
ENSMUSG00000000627,Sema4f,4,11,6,15,0
ENSMUSG00000000628,Hk2,833,1630,1587,2539,2401
ENSMUSG00000000631,Myo18a,2844,4299,3668,2510,3235
ENSMUSG00000000632,Sez6,15,3,6,167,512
ENSMUSG00000000673,Haao,8,9,0,8,0
ENSMUSG00000000682,Cd52,8,9,21,51,11
ENSMUSG00000000686,Abhd15,212,314,295,146,288
ENSMUSG00000000690,Hoxb6,8,7,0,15,0
ENSMUSG00000000693,Loxl3,811,72,732,668,292
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,662,4283,363,2314,1101
ENSMUSG00000000708,Kat2b,807,1845,847,769,1215
ENSMUSG00000000711,Rab5b,814,1098,889,784,934
ENSMUSG00000000724,Cryba1,227,105,60,30,36
ENSMUSG00000000730,Dnmt3l,0,3,0,0,4
ENSMUSG00000000731,Aire,0,5,0,0,8
ENSMUSG00000000732,Icosl,216,46,72,66,40
ENSMUSG00000000738,Spg7,599,702,642,711,909
ENSMUSG00000000739,Sult5a1,27,7,9,0,4
ENSMUSG00000000740,Rpl13,12481,9394,9147,10233,9939
ENSMUSG00000000743,Chmp1a,621,1232,841,769,1066
ENSMUSG00000000751,Rpa1,751,637,963,1270,1659
ENSMUSG00000000753,Serpinf1,543,46,859,856,256
ENSMUSG00000000759,Tubgcp3,1078,1137,948,929,1091
ENSMUSG00000000766,Oprm1,0,0,0,15,0
ENSMUSG00000000776,Polr3d,428,524,428,414,480
ENSMUSG00000000782,Tcf7,599,171,850,980,842
ENSMUSG00000000787,Ddx3x,42480,32021,28481,23889,27202
ENSMUSG00000000791,Il12rb1,4,5,6,15,0
ENSMUSG00000000792,Slc5a5,231,3944,122,1009,274
ENSMUSG00000000794,Kcnn3,15,83,24,30,25
ENSMUSG00000000804,Usp32,1729,2157,1546,1284,1652
ENSMUSG00000000805,Car4,64,27,6,37,4
ENSMUSG00000000811,Txnrd3,599,257,307,225,238
ENSMUSG00000000817,Fasl,4,3,12,8,4
ENSMUSG00000000823,Zfp512b,729,1053,948,769,917
ENSMUSG00000000826,Dnajc5,1680,3041,1718,1908,2777
ENSMUSG00000000827,Tpd52l2,971,1472,1118,1009,1289
ENSMUSG00000000838,Fmr1,2747,2288,2473,2321,3001
ENSMUSG00000000861,Bcl11a,235,226,628,233,459
ENSMUSG00000000869,Il4,34,21,42,44,25
ENSMUSG00000000876,Pxmp4,171,197,188,254,231
ENSMUSG00000000881,Dlg3,569,1135,678,755,721
ENSMUSG00000000884,Gnb1l,138,42,128,95,100
ENSMUSG00000000889,Dbh,0,0,0,0,0
ENSMUSG00000000901,Mmp11,183,37,238,66,54
ENSMUSG00000000902,Smarcb1,722,710,969,1204,1233
ENSMUSG00000000903,Vpreb3,12,5,0,0,0
ENSMUSG00000000915,Hip1r,1941,4701,1347,2198,3317
ENSMUSG00000000916,Nsun5,450,300,342,276,370
ENSMUSG00000000934,Top1mt,153,165,197,95,157
ENSMUSG00000000938,Hoxa10,0,3,0,0,0
ENSMUSG00000000942,Hoxa4,0,0,0,0,4
ENSMUSG00000000948,Gm38393,97,163,102,175,203
ENSMUSG00000000957,Mmp14,3174,3614,4292,4475,5149
ENSMUSG00000000958,Slc7a7,324,191,244,175,196
ENSMUSG00000000959,Oxa1l,814,1111,1469,1103,1591
ENSMUSG00000000976,Heatr6,513,585,544,631,750
ENSMUSG00000000982,Ccl3,12,5,60,131,22
ENSMUSG00000000983,Wfdc18,785,3208,259,1806,5756
ENSMUSG00000001014,Icam4,38,11,33,22,8
ENSMUSG00000001016,Ilf2,1238,815,1100,1110,1467
ENSMUSG00000001017,Chtop,2115,2592,2494,2495,3019
ENSMUSG00000001018,Snapin,751,702,711,733,799
ENSMUSG00000001020,S100a4,30,9,24,95,43
ENSMUSG00000001021,S100a3,19,11,15,8,4
ENSMUSG00000001023,S100a5,0,3,0,0,0
ENSMUSG00000001025,S100a6,2138,5887,2604,4729,3949
ENSMUSG00000001027,Scn4a,30,23,15,30,11
ENSMUSG00000001029,Icam2,71,68,63,175,29
ENSMUSG00000001034,Mapk7,346,314,313,233,263
ENSMUSG00000001036,Epn2,785,1451,776,675,700
ENSMUSG00000001039,B9d1,53,85,75,102,143
ENSMUSG00000001052,Sec24b,2439,2426,2720,2133,2443
ENSMUSG00000001053,N4bp3,264,296,256,283,373
ENSMUSG00000001054,Rmnd5b,361,368,318,269,395
ENSMUSG00000001056,Nhp2,361,538,360,733,1012
ENSMUSG00000001062,Vps9d1,313,294,390,211,281
ENSMUSG00000001065,Zfp276,387,310,336,153,334
ENSMUSG00000001076,C1ql4,0,3,0,0,0
ENSMUSG00000001082,Mfsd10,603,370,515,305,448
ENSMUSG00000001089,Luzp1,6898,3415,6164,4243,4169
ENSMUSG00000001095,Slc13a2,41,353,6,44,0
ENSMUSG00000001098,Kctd10,1220,1024,1112,1335,1133
ENSMUSG00000001100,Poldip2,539,635,657,697,934
ENSMUSG00000001103,Sebox,4,0,0,8,8
ENSMUSG00000001105,Ift20,495,407,494,544,363
ENSMUSG00000001119,Col6a1,1331,267,2102,980,707
ENSMUSG00000001120,Pcbp3,242,156,173,88,235
ENSMUSG00000001123,Lgals9,1141,552,1706,1552,672
ENSMUSG00000001127,Araf,1034,1443,904,907,838
ENSMUSG00000001128,Cfp,60,42,27,80,50
ENSMUSG00000001131,Timp1,108,197,110,312,128
ENSMUSG00000001134,Uxt,112,142,155,138,146
ENSMUSG00000001138,Cnnm3,718,589,684,537,650
ENSMUSG00000001143,Lman2l,536,879,497,610,775
ENSMUSG00000001150,Mcm3ap,993,946,1246,922,1272
ENSMUSG00000001151,Pcnt,2334,2057,1766,1770,2965
ENSMUSG00000001155,Ftcd,0,0,0,0,0
ENSMUSG00000001156,Mxd1,1413,1529,1047,929,1442
ENSMUSG00000001157,Gmcl1,584,347,797,639,636
ENSMUSG00000001158,Snrnp27,387,310,411,421,405
ENSMUSG00000001166,Oas1c,45,52,57,66,54
ENSMUSG00000001168,Oas1h,0,11,9,8,0
ENSMUSG00000001173,Ocrl,811,969,963,856,881
ENSMUSG00000001175,Calm1,7441,4656,5243,7282,5380
ENSMUSG00000001211,Agpat3,577,1189,595,726,1204
ENSMUSG00000001225,Slc26a3,12,3,0,0,0
ENSMUSG00000001227,Sema6b,168,89,66,138,36
ENSMUSG00000001228,Uhrf1,60,140,146,907,1808
ENSMUSG00000001229,Dpp9,521,752,740,718,863
ENSMUSG00000001240,Ramp2,636,704,631,922,952
ENSMUSG00000001247,Lsr,1089,2502,1454,1886,2894
ENSMUSG00000001248,Gramd1a,1208,1139,1180,980,881
ENSMUSG00000001249,Hpn,171,407,238,218,253
ENSMUSG00000001260,Gabrg1,0,0,0,0,0
ENSMUSG00000001270,Ckb,335,54,1231,631,96
ENSMUSG00000001280,Sp1,4182,5374,4731,4337,5511
ENSMUSG00000001281,Itgb7,49,54,18,22,29
ENSMUSG00000001285,Myg1,328,280,259,298,380
ENSMUSG00000001288,Rarg,1305,1435,1409,1190,1236
ENSMUSG00000001289,Pfdn5,2476,1353,1807,1233,956
ENSMUSG00000001300,Efnb2,2654,1297,1855,1371,1889
ENSMUSG00000001305,Rrp15,372,261,351,450,416
ENSMUSG00000001313,Rnd2,287,306,241,262,334
ENSMUSG00000001323,Srr,1089,1033,901,864,1307
ENSMUSG00000001333,Sync,145,146,265,88,64
ENSMUSG00000001334,Fndc5,19,27,48,22,25
ENSMUSG00000001348,Acp5,183,74,565,392,437
ENSMUSG00000001349,Cnn1,5724,68,14693,2988,89
ENSMUSG00000001366,Fbxo9,435,433,592,486,448
ENSMUSG00000001376,Vps50,669,735,651,791,1009
ENSMUSG00000001380,Hars,922,918,839,1052,1346
ENSMUSG00000001383,Zmat2,878,850,755,929,1247
ENSMUSG00000001403,Ube2c,23,66,81,733,743
ENSMUSG00000001415,Smg5,963,1244,1240,1226,1758
ENSMUSG00000001416,Cct3,2494,2100,2749,3489,4322
ENSMUSG00000001418,Glmp,733,1078,844,1146,1229
ENSMUSG00000001419,Mef2d,1974,3039,1567,1603,2078
ENSMUSG00000001420,Tmem79,194,386,188,334,572
ENSMUSG00000001424,Snd1,2074,3407,2532,3206,4194
ENSMUSG00000001435,Col18a1,2357,152,5614,4620,1659
ENSMUSG00000001436,Slc19a1,320,163,304,218,281
ENSMUSG00000001440,Kpnb1,4089,4640,5145,6607,9243
ENSMUSG00000001441,Npepps,1625,1429,1578,1509,2397
ENSMUSG00000001444,Tbx21,15,7,21,8,8
ENSMUSG00000001445,Mrpl10,350,546,494,486,700
ENSMUSG00000001467,Cyp51,1008,836,633,602,796
ENSMUSG00000001472,Tcf25,3591,5315,3581,3873,4446
ENSMUSG00000001473,Tubb6,2561,2020,1745,2386,2369
ENSMUSG00000001482,Def8,261,329,396,385,395
ENSMUSG00000001493,Meox1,105,29,60,66,8
ENSMUSG00000001494,Sost,4,0,3,0,0
ENSMUSG00000001496,Nkx2-1,0,0,0,0,0
ENSMUSG00000001497,Pax9,23,5,6,22,0
ENSMUSG00000001504,Irx2,4178,2927,4907,3010,2962
ENSMUSG00000001506,Col1a1,383,148,1477,4569,615
ENSMUSG00000001507,Itga3,4869,2596,6562,4294,2262
ENSMUSG00000001508,Sgca,12,3,9,0,4
ENSMUSG00000001510,Dlx3,38,42,63,51,22
ENSMUSG00000001517,Foxm1,123,132,152,552,693
ENSMUSG00000001518,Itfg2,235,296,259,247,317
ENSMUSG00000001520,Nrip2,67,95,87,124,79
ENSMUSG00000001521,Tulp3,885,243,1038,566,530
ENSMUSG00000001524,Gtf2h4,90,93,128,175,242
ENSMUSG00000001525,Tubb5,5624,2968,7953,10668,12002
ENSMUSG00000001542,Ell2,1766,3850,770,1560,2095
ENSMUSG00000001552,Jup,6423,11479,5760,6491,10536
ENSMUSG00000001555,Fkbp10,439,148,1050,776,398
ENSMUSG00000001558,Klhl10,34,3,6,0,15
ENSMUSG00000001566,Mnx1,0,0,0,0,0
ENSMUSG00000001569,Nom1,755,653,660,682,924
ENSMUSG00000001576,Ergic1,826,1164,1287,1364,1847
ENSMUSG00000001583,Tnk1,1004,1267,809,958,1098
ENSMUSG00000001588,Acap1,34,21,6,8,15
ENSMUSG00000001604,Tcea3,49,107,84,240,231
ENSMUSG00000001622,Csn3,3160,20614,1234,7594,8849
ENSMUSG00000001627,Ifrd1,13020,20089,6217,8435,6278
ENSMUSG00000001630,Stk38l,662,1310,758,943,1300
ENSMUSG00000001632,Brpf1,1194,1386,996,1030,1744
ENSMUSG00000001642,Akr1b3,406,460,425,544,700
ENSMUSG00000001655,Hoxc13,0,0,0,0,0
ENSMUSG00000001656,Hoxc11,0,0,0,0,0
ENSMUSG00000001657,Hoxc8,8,11,6,8,0
ENSMUSG00000001661,Hoxc6,15,0,0,22,0
ENSMUSG00000001663,Gstt1,443,234,372,247,153
ENSMUSG00000001665,Gstt3,209,1012,220,407,459
ENSMUSG00000001666,Ddt,105,173,107,138,185
ENSMUSG00000001670,Tat,0,13,0,8,4
ENSMUSG00000001672,Marveld3,205,850,90,385,760
ENSMUSG00000001674,Ddx18,554,433,616,631,899
ENSMUSG00000001687,Ubl3,1595,1416,1433,1241,1080
ENSMUSG00000001700,Gramd3,246,665,280,457,373
ENSMUSG00000001707,Eef1e1,138,185,209,283,221
ENSMUSG00000001729,Akt1,1996,3019,2800,3213,3754
ENSMUSG00000001739,Cldn15,38,21,18,15,25
ENSMUSG00000001741,Il16,138,17,63,37,43
ENSMUSG00000001750,Tcirg1,1049,1236,824,1154,1282
ENSMUSG00000001751,Naglu,131,241,185,211,139
ENSMUSG00000001755,Coasy,149,300,200,225,363
ENSMUSG00000001761,Smo,1740,1353,2521,2031,2067
ENSMUSG00000001763,Tspan33,79,585,18,109,167
ENSMUSG00000001767,Crnkl1,651,747,910,1030,1282
ENSMUSG00000001768,Rin2,3542,6993,3920,3764,4048
ENSMUSG00000001773,Folh1,0,0,0,0,4
ENSMUSG00000001774,Chordc1,677,602,1112,929,878
ENSMUSG00000001783,Rtcb,1398,1962,1457,1828,2422
ENSMUSG00000001785,Pwp1,428,472,553,900,934
ENSMUSG00000001786,Fbxo7,383,477,336,341,615
ENSMUSG00000001794,Capns1,7270,4864,7171,6593,7798
ENSMUSG00000001802,Lrp3,194,78,84,22,25
ENSMUSG00000001804,Dsg4,0,0,0,0,0
ENSMUSG00000001815,Evx2,0,0,0,0,0
ENSMUSG00000001819,Hoxd13,0,0,0,0,0
ENSMUSG00000001823,Hoxd12,0,0,0,0,0
ENSMUSG00000001827,Folr1,41,339,36,73,128
ENSMUSG00000001829,Clpb,569,815,568,610,860
ENSMUSG00000001833,Sept7,3531,2686,4208,4033,3949
ENSMUSG00000001844,Zdhhc4,261,409,351,465,327
ENSMUSG00000001847,Rac1,3840,10777,4919,7688,8593
ENSMUSG00000001855,Nup214,1654,1892,1567,1480,2113
ENSMUSG00000001864,Aif1l,116,329,203,117,96
ENSMUSG00000001865,Cpa3,53,37,0,0,0
ENSMUSG00000001870,Ltbp1,465,1845,669,1306,2024
ENSMUSG00000001891,Ugp2,1060,1164,1219,1001,1179
ENSMUSG00000001901,Kcnh6,0,0,6,0,11
ENSMUSG00000001909,Trmt1,878,877,788,827,824
ENSMUSG00000001910,Nacc1,926,1866,1570,1770,2458
ENSMUSG00000001911,Nfix,20356,7831,23902,13548,17310
ENSMUSG00000001918,Slc1a5,1220,474,693,581,537
ENSMUSG00000001924,Uba1,4118,5251,4812,5679,8075
ENSMUSG00000001930,Vwf,2208,2781,987,3402,661
ENSMUSG00000001942,Siae,420,614,503,639,707
ENSMUSG00000001943,Vsig2,19,7,15,15,25
ENSMUSG00000001946,Esam,302,169,176,443,96
ENSMUSG00000001948,Spa17,45,27,18,44,25
ENSMUSG00000001962,Fam50a,506,565,592,552,672
ENSMUSG00000001964,Emd,956,739,1005,1023,977
ENSMUSG00000001983,Taco1,56,52,72,80,121
ENSMUSG00000001985,Grik3,9608,727,7451,871,253
ENSMUSG00000001986,Gria3,212,19,387,378,302
ENSMUSG00000001988,Npas1,12,5,9,8,0
ENSMUSG00000001995,Sipa1l2,617,1849,369,501,714
ENSMUSG00000001998,Ap4e1,603,431,568,327,565
ENSMUSG00000001999,Blvra,171,142,152,276,285
ENSMUSG00000002006,Pdzd4,302,150,241,102,82
ENSMUSG00000002007,Srpk3,30,23,15,30,36
ENSMUSG00000002010,Idh3g,1338,1373,1382,1973,2159
ENSMUSG00000002012,Pnck,101,60,134,37,25
ENSMUSG00000002014,Ssr4,673,647,645,943,682
ENSMUSG00000002015,Bcap31,1532,1550,1507,1610,1936
ENSMUSG00000002017,Fam98a,450,587,714,769,980
ENSMUSG00000002020,Ltbp2,15138,2018,23019,4722,856
ENSMUSG00000002028,Kmt2a,9946,7170,8211,4656,6030
ENSMUSG00000002031,Ift46,640,756,782,864,924
ENSMUSG00000002032,Tmem25,53,70,33,15,61
ENSMUSG00000002033,Cd3g,8,13,9,15,0
ENSMUSG00000002043,Trappc6a,101,154,122,138,192
ENSMUSG00000002052,Supt6,5059,6983,4485,4490,6378
ENSMUSG00000002055,Spag5,67,66,105,472,686
ENSMUSG00000002057,Foxn1,0,21,3,22,29
ENSMUSG00000002058,Unc119,238,105,452,269,260
ENSMUSG00000002059,Rab34,525,218,663,457,274
ENSMUSG00000002064,Sdf2,565,811,503,682,931
ENSMUSG00000002068,Ccne1,179,46,105,102,231
ENSMUSG00000002076,Hsf2bp,8,31,12,8,4
ENSMUSG00000002083,Bbc3,105,99,96,102,150
ENSMUSG00000002100,Mybpc3,15,21,0,0,0
ENSMUSG00000002102,Psmc3,1413,1447,1463,1988,2255
ENSMUSG00000002103,Acp2,718,895,868,610,604
ENSMUSG00000002104,Rapsn,53,17,30,22,4
ENSMUSG00000002105,Slc39a13,402,234,431,298,228
ENSMUSG00000002107,Celf2,469,946,1249,1886,2543
ENSMUSG00000002108,Nr1h3,30,56,33,51,50
ENSMUSG00000002109,Ddb2,554,526,434,276,334
ENSMUSG00000002111,Spi1,4,3,21,44,8
ENSMUSG00000002129,Sf3a1,1194,1523,1466,1531,2145
ENSMUSG00000002147,Stat6,1491,1823,1409,1241,1442
ENSMUSG00000002190,Clgn,0,68,3,8,8
ENSMUSG00000002204,Napsa,4,27,3,15,4
ENSMUSG00000002205,Vrk3,342,795,378,436,590
ENSMUSG00000002210,Smg9,235,386,283,247,537
ENSMUSG00000002221,Paxip1,558,694,740,668,892
ENSMUSG00000002222,Rmnd5a,2331,4314,3436,3133,4077
ENSMUSG00000002227,Mov10,372,399,529,537,593
ENSMUSG00000002228,Ppm1j,34,56,33,30,22
ENSMUSG00000002233,Rhoc,703,877,928,1081,874
ENSMUSG00000002240,Prr27,0,0,0,0,4
ENSMUSG00000002249,Tead3,952,637,990,523,512
ENSMUSG00000002250,Ppard,458,795,559,726,650
ENSMUSG00000002257,Def6,346,185,372,457,562
ENSMUSG00000002265,Peg3,1093,331,2024,929,760
ENSMUSG00000002266,Zim1,0,0,60,37,8
ENSMUSG00000002274,Metrn,60,19,69,146,86
ENSMUSG00000002279,Lmf1,257,316,268,283,331
ENSMUSG00000002280,Narfl,197,191,235,233,270
ENSMUSG00000002289,Angptl4,2680,2420,3168,3061,1733
ENSMUSG00000002297,Dbf4,168,253,197,523,824
ENSMUSG00000002307,Daxx,513,411,595,494,597
ENSMUSG00000002308,Cd320,112,208,185,196,171
ENSMUSG00000002319,Ipo4,1390,1425,1332,1103,1389
ENSMUSG00000002320,Tm9sf1,1145,1367,1183,929,1289
ENSMUSG00000002324,Rec8,79,21,30,22,43
ENSMUSG00000002325,Irf9,896,1047,1243,1255,1123
ENSMUSG00000002326,Gmpr2,402,325,402,370,434
ENSMUSG00000002329,Mdp1,149,179,238,196,210
ENSMUSG00000002332,Dhrs1,231,259,333,320,224
ENSMUSG00000002341,Ncan,8,3,12,15,8
ENSMUSG00000002342,Tmem161a,242,333,318,247,299
ENSMUSG00000002343,Armc6,112,91,110,109,160
ENSMUSG00000002345,Borcs8,283,370,295,276,345
ENSMUSG00000002346,Slc25a42,168,117,286,95,143
ENSMUSG00000002365,Snx9,956,1412,940,827,1282
ENSMUSG00000002372,Ranbp3,892,1037,1017,951,1286
ENSMUSG00000002379,Ndufa11,272,273,553,501,412
ENSMUSG00000002384,Bmp8b,93,54,51,73,121
ENSMUSG00000002393,Nr2f6,428,665,515,624,604
ENSMUSG00000002395,Use1,2197,1111,1513,1168,980
ENSMUSG00000002396,Ocel1,510,817,503,631,565
ENSMUSG00000002409,Dyrk1b,368,518,628,479,519
ENSMUSG00000002413,Braf,2479,3142,2232,1915,1925
ENSMUSG00000002416,Ndufb2,591,477,440,537,370
ENSMUSG00000002428,Hltf,930,875,951,943,1101
ENSMUSG00000002455,Prpf6,1123,1383,1073,1241,1584
ENSMUSG00000002458,Rgs19,164,111,330,262,313
ENSMUSG00000002459,Rgs20,49,169,57,160,341
ENSMUSG00000002475,Abhd3,116,50,96,59,18
ENSMUSG00000002477,Snrpd1,398,481,556,798,1002
ENSMUSG00000002486,Tchp,242,183,283,124,210
ENSMUSG00000002489,Tiam1,889,620,1249,769,998
ENSMUSG00000002496,Tsc2,2100,2309,2491,1669,2372
ENSMUSG00000002500,Rpl3l,8,0,3,0,4
ENSMUSG00000002504,Slc9a3r2,499,1070,708,704,501
ENSMUSG00000002524,Puf60,1725,1886,2217,1966,2490
ENSMUSG00000002546,Golga2,1294,2198,1445,1364,1662
ENSMUSG00000002550,Uck1,294,468,330,327,388
ENSMUSG00000002565,Scin,305,608,60,189,306
ENSMUSG00000002578,Ikzf4,1324,616,833,631,522
ENSMUSG00000002580,Mien1,142,495,146,291,416
ENSMUSG00000002588,Pon1,0,5,0,0,4
ENSMUSG00000002602,Axl,4813,181,5442,2952,1009
ENSMUSG00000002603,Tgfb1,807,1291,732,1110,995
ENSMUSG00000002608,Ccdc97,606,957,708,581,782
ENSMUSG00000002617,Zfp40,116,93,131,117,107
ENSMUSG00000002625,Akap8l,1639,1037,1020,631,664
ENSMUSG00000002633,Shh,0,3,0,8,0
ENSMUSG00000002635,Pdcd2l,82,76,122,138,125
ENSMUSG00000002658,Gtf2f1,1301,1068,794,951,973
ENSMUSG00000002660,Clpp,209,195,232,276,324
ENSMUSG00000002661,Alkbh7,71,68,78,30,64
ENSMUSG00000002664,Pspn,12,9,6,8,0
ENSMUSG00000002668,Dennd1c,27,154,21,102,100
ENSMUSG00000002679,Med6,287,226,289,407,348
ENSMUSG00000002688,Prkd1,420,460,580,523,455
ENSMUSG00000002699,Lcp2,15,15,21,66,11
ENSMUSG00000002718,Cse1l,3171,3080,2491,3395,4744
ENSMUSG00000002728,Naa20,536,413,411,573,558
ENSMUSG00000002731,Prkra,298,280,387,385,494
ENSMUSG00000002732,Fkbp7,194,33,271,153,68
ENSMUSG00000002733,Plekha3,692,737,901,776,590
ENSMUSG00000002741,Ykt6,759,979,892,1255,1314
ENSMUSG00000002748,Baz1b,3472,3304,3457,3104,4283
ENSMUSG00000002763,Pex6,658,737,521,414,519
ENSMUSG00000002767,Mrpl2,227,278,256,341,384
ENSMUSG00000002768,Mea1,257,300,292,312,334
ENSMUSG00000002769,Gnmt,34,27,15,8,8
ENSMUSG00000002771,Grin2d,105,54,69,15,36
ENSMUSG00000002778,Kdelr1,911,1490,1445,1603,1684
ENSMUSG00000002781,Tmem143,82,97,105,59,111
ENSMUSG00000002791,Pdxk-ps,4,3,0,0,0
ENSMUSG00000002797,Ggct,227,134,93,95,100
