Chr	BeginPos	EndPos	NbrOfProbes	CN	CN_Allel1	CN_Allel2	BeginRS	EndRS	LogR	BAF	SampleName
1	855000	121335000	3785				1:840001-870000	1:121320001-121350000	-0.0121141347424042	0.5	SL14P0
1	145395000	249195000	3211				1:145380001-145410000	1:249180001-249210000	-0.0121195889131112	0.5	SL14P0
2	45000	89115000	2863				2:30001-60000	2:89100001-89130000	-2.7593433461404e-05	0.5	SL14P0
2	95595000	242985000	4628				2:95580001-95610000	2:242970001-243000000	-0.044	0.5	SL14P0
3	105000	197805000	6288				3:90001-120000	3:197790001-197820000	-0.0558644525663436	0.5	SL14P0
3	199501837	199501877	5				chr3_10	chr3_50	-0.0558644525663436		SL14P0
4	105000	190425000	5993				4:90001-120000	4:190410001-190440000	-2.6876285666611	0.5	SL14P0
4	190455000	190785000	5				4:190440001-190470000	4:190770001-190800000	-0.1467	0.5	SL14P0
4	191273073	191273113	5				chr4_10	chr4_50	-0.1467		SL14P0
5	75000	180675000	5612				5:60001-90000	5:180660001-180690000	-0.129841908492078	0.5	SL14P0
5	180857876	180857916	5				chr5_10	chr5_50	-0.129841908492078		SL14P0
6	225000	170745000	5349				6:210001-240000	6:170730001-170760000	-26.3854856982614	0.5	SL14P0
6	170775000	170895000	5				6:170760001-170790000	6:170880001-170910000	-0.1195	0.5	SL14P0
6	170900002	170900042	5				chr6_10	chr6_50	-0.1195		SL14P0
7	45000	57615000	1765				7:30001-60000	7:57600001-57630000	0.24560566572238	0.5	SL14P0
7	62625000	159105000	2890				7:62610001-62640000	7:159090001-159120000	0.235244636678201	0.5	SL14P0
8	195000	146295000	4534				8:180001-210000	8:146280001-146310000	0.139067048963388	0.5	SL14P0
9	225000	38775000	1240				9:210001-240000	9:38760001-38790000	0.168008870967742	0.5	SL14P0
9	71055000	140985000	2245				9:71040001-71070000	9:140970001-141000000	0.164897550111359	0.5	SL14P0
10	135000	135405000	4043				10:120001-150000	10:135390001-135420000	-0.024647786297304	0.5	SL14P0
11	225000	134925000	4084				11:210001-240000	11:134910001-134940000	-0.0317759549461312	0.5	SL14P0
12	195000	133815000	4171				12:180001-210000	12:133800001-133830000	-0.0153131143610645	0.5	SL14P0
13	19545000	115095000	3071				13:19530001-19560000	13:115080001-115110000	-0.0543998697492673	0.5	SL14P0
14	20205000	107295000	2809				14:20190001-20220000	14:107280001-107310000	-0.00983695265218939	0.5	SL14P0
15	22335000	102375000	2437				15:22320001-22350000	15:102360001-102390000	-0.0396438243742306	0.5	SL14P0
16	105000	35115000	901				16:90001-120000	16:35100001-35130000	-0.0366437291897891	0.5	SL14P0
16	46545000	90135000	1396				16:46530001-46560000	16:90120001-90150000	-0.0288732091690544	0.5	SL14P0
17	15000	78615000	2265				17:1-30000	17:78600001-78630000	-5.45755629139073	0.5	SL14P0
17	78645000	78915000	15				17:78630001-78660000	17:78900001-78930000	-0.0046	0.5	SL14P0
17	78945000	81075000	70				17:78930001-78960000	17:81060001-81090000	-0.0359428571428571	0.5	SL14P0
18	165000	78015000	2413				18:150001-180000	18:78000001-78030000	-0.0267484459179445	0.5	SL14P0
19	285000	59085000	1588				19:270001-300000	19:59070001-59100000	-0.0353389830508475	0.5	SL14P0
19	63811661	63811701	5				chr19_10	chr19_50	-0.0353389830508475		SL14P0
20	75000	62895000	1933				20:60001-90000	20:62880001-62910000	0.219619762027936	0.5	SL14P0
21	15495000	48075000	1063				21:15480001-15510000	21:48060001-48090000	-0.336967074317968	0.5	SL14P0
22	17295000	51165000	1020				22:17280001-17310000	22:51150001-51180000	-0.020778640776699	0.5	SL14P0
X	154913764	154913804	5				chrX_10	chrX_50	-0.020778640776699		SL14P0
Y	57772964	57773004	5				chrY_10	chrY_50	-0.020778640776699		SL14P0
